album_name,album_type,artist,album_release_date,album_duration,album_genre,album_styles,album_recording_location,album_recording_period,album_moods,album_themes,track_name,composers,genres,styles,moods,themes
Earth & Sky,studio,Graham Nash,1980,35:14:00,Pop/Rock,Contemporary Singer/Songwriter,,1979,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",Helicopter Song,Graham Nash,,,,
Earth & Sky,studio,Graham Nash,1980,35:14:00,Pop/Rock,Contemporary Singer/Songwriter,,1979,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",Earth and Sky,Graham Nash,,,,
Earth & Sky,studio,Graham Nash,1980,35:14:00,Pop/Rock,Contemporary Singer/Songwriter,,1979,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",Barrel of Pain,Graham Nash,,,,
Earth & Sky,studio,Graham Nash,1980,35:14:00,Pop/Rock,Contemporary Singer/Songwriter,,1979,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",TV Guide,"Graham Nash, Joe Vitale",,,,
Earth & Sky,studio,Graham Nash,1980,35:14:00,Pop/Rock,Contemporary Singer/Songwriter,,1979,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",In the 80's,Graham Nash,,,,
Earth & Sky,studio,Graham Nash,1980,35:14:00,Pop/Rock,Contemporary Singer/Songwriter,,1979,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",Magical Child,Graham Nash,,,,
Earth & Sky,studio,Graham Nash,1980,35:14:00,Pop/Rock,Contemporary Singer/Songwriter,,1979,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",Love Has Come,Graham Nash,,,,
Earth & Sky,studio,Graham Nash,1980,35:14:00,Pop/Rock,Contemporary Singer/Songwriter,,1979,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",Skychild,Graham Nash,,,,
Earth & Sky,studio,Graham Nash,1980,35:14:00,Pop/Rock,Contemporary Singer/Songwriter,,1979,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",It's All Right,Graham Nash,,,,
Earth & Sky,studio,Graham Nash,1980,35:14:00,Pop/Rock,Contemporary Singer/Songwriter,,1979,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",Out of the Island,Graham Nash,,,,
Innocent Eyes,studio,Graham Nash,1986,34:10:00,Pop/Rock,Contemporary Singer/Songwriter," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",,,,Newday,"Craig Doerge, Graham Nash",,,,
Innocent Eyes,studio,Graham Nash,1986,34:10:00,Pop/Rock,Contemporary Singer/Songwriter," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",,,,Keep Away From Me,Graham Nash,,,,
