album_name,album_release_date,album_duration,album_genre,album_styles,album_recording_location,album_recording_period,album_moods,album_themes,track_name,composers,genres,styles,moods,themes
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",Better Days,Graham Nash,,,,
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",We Can Change the World,Graham Nash,,,,
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",Chicago,Graham Nash,,Album Rock,,
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",Sleep Song,Graham Nash,,,,
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",Military Madness,Graham Nash,,,,
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",Be Yourself,"Graham Nash, Terry Reid",,,,
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",I Used to Be a King,Graham Nash,Pop/Rock,"Folk-Rock, Psychedelic/Garage",Sentimental,
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",There's Only One,Graham Nash,,,,
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",Man in the Mirror,Graham Nash,Pop/Rock,"Folk-Rock, Psychedelic/Garage",Yearning,
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",Wounded Bird,Graham Nash,,,,
Songs for Beginners,1971,32:13,Pop/Rock,"Singer/Songwriter, Soft Rock","Studio C, San Francisco, CA",,"Agreeable, Calm/Peaceful, Dreamy, Sentimental, Yearning, Flowing, Lonely, Nostalgic, Strong","Introspection, Reflection, Relationships, Relaxation",Simple Man,Graham Nash,Pop/Rock,"Folk-Rock, Psychedelic/Garage","Laid-Back/Mellow, Yearning",In Love
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Blacknotes,Graham Nash,"International, Pop/Rock",Singer/Songwriter,"Calm/Peaceful, Dreamy, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Where Will I Be?,David Crosby,"International, Pop/Rock","Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Calm/Peaceful, Nostalgic, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Whole Cloth,David Crosby,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Calm/Peaceful, Dreamy, Nostalgic, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Girl to Be on My Mind,Graham Nash,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Calm/Peaceful, Dreamy, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Frozen Smiles,Graham Nash,"International, Pop/Rock","Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter",Lively,
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Southbound Train,Graham Nash,"International, Pop/Rock","Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Nostalgic, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Games,Graham Nash,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Calm/Peaceful, Nostalgic, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",The Wall Song,David Crosby,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Lively, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Immigration Man,Graham Nash,Pop/Rock,"Folk-Rock, Psychedelic/Garage",Lively,
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Strangers Room,Graham Nash,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Calm/Peaceful, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Page 43,David Crosby,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Calm/Peaceful, Dreamy, Sentimental",
Live,"November, 1977",51:36,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ","September 7, 1975 - September 11, 1976","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Mama Lion,David Crosby,Pop/Rock,"Album Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter, Soft Rock",Organic,
Live,"November, 1977",51:36,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ","September 7, 1975 - September 11, 1976","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Déjà Vu,David Crosby,Pop/Rock,"Singer/Songwriter, Soft Rock, Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Album Rock","Laid-Back/Mellow, Organic, Reflective, Searching, Soothing, Sweet, Warm, Wistful, Light, Bright, Yearning","Comfort, Day Driving, Hanging Out, Introspection, Reflection, Relaxation, Reminiscing, Celebration"
Live,"November, 1977",51:36,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ","September 7, 1975 - September 11, 1976","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",I Used to Be a King,Graham Nash,Pop/Rock,"Folk-Rock, Psychedelic/Garage",Sentimental,
Live,"November, 1977",51:36,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ","September 7, 1975 - September 11, 1976","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Foolish Man,David Crosby,Pop/Rock,"Folk-Rock, Psychedelic/Garage",,
Live,"November, 1977",51:36,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ","September 7, 1975 - September 11, 1976","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Simple Man,"M. Black, P. Carpenter, Joe Hicks, J. More, Graham Nash, Bobby Womack",Pop/Rock,"Folk-Rock, Psychedelic/Garage","Laid-Back/Mellow, Yearning",In Love
Live,"November, 1977",51:36,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ","September 7, 1975 - September 11, 1976","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Bittersweet,David Crosby,Pop/Rock,"Album Rock, Singer/Songwriter, Soft Rock, Folk-Rock, Psychedelic/Garage",Organic,
Live,"November, 1977",51:36,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ","September 7, 1975 - September 11, 1976","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Immigration Man,Graham Nash,Pop/Rock,"Folk-Rock, Psychedelic/Garage",,
Live,"November, 1977",51:36,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ","September 7, 1975 - September 11, 1976","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",King of the Mountain,David Crosby,,,,
Live,"November, 1977",51:36,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ","September 7, 1975 - September 11, 1976","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Page 43,David Crosby,Pop/Rock,"Folk-Rock, Psychedelic/Garage","Sentimental, Yearning",
Live,"November, 1977",51:36,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ","September 7, 1975 - September 11, 1976","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Fieldworker,Graham Nash,Pop/Rock,"Album Rock, Singer/Songwriter, Soft Rock, Folk-Rock, Psychedelic/Garage","Organic, Rebellious",
