album_name,album_release_date,album_duration,album_genre,album_styles,album_recording_location,album_recording_period,album_moods,album_themes,track_name,composers,genres,styles,moods,themes
Barn,"December 10, 2021",42:46,Pop/Rock,"Album Rock, Hard Rock, Contemporary Pop/Rock, Country-Rock",Le Mobile Remote Recording Studio,,"Autumnal, Earnest, Organic, Earthy, Intimate, Provocative, Quirky, Reflective, Searching, Angry, Bittersweet, Brooding, Confrontational, Eccentric, Laid-Back/Mellow, Meandering, Messy, Plaintive, Ramshackle, Rousing, Somber, Volatile, Weary, Acerbic, Ambitious, Angst-Ridden, Bitter, Brash, Cathartic, Complex, Difficult, Harsh, Literate, Nocturnal, Pastoral, Poignant, Rustic, Sad, Sweet, Wistful, Gentle, Gloomy, Melancholy, Rowdy, Aggressive","Autumn, Politics/Society, Introspection, Reflection, Feeling Blue, Late Night, Solitude",Welcome Back,Neil Young,,,,
Barn,"December 10, 2021",42:46,Pop/Rock,"Album Rock, Hard Rock, Contemporary Pop/Rock, Country-Rock",Le Mobile Remote Recording Studio,,"Autumnal, Earnest, Organic, Earthy, Intimate, Provocative, Quirky, Reflective, Searching, Angry, Bittersweet, Brooding, Confrontational, Eccentric, Laid-Back/Mellow, Meandering, Messy, Plaintive, Ramshackle, Rousing, Somber, Volatile, Weary, Acerbic, Ambitious, Angst-Ridden, Bitter, Brash, Cathartic, Complex, Difficult, Harsh, Literate, Nocturnal, Pastoral, Poignant, Rustic, Sad, Sweet, Wistful, Gentle, Gloomy, Melancholy, Rowdy, Aggressive","Autumn, Politics/Society, Introspection, Reflection, Feeling Blue, Late Night, Solitude",Shape of You,Neil Young,,,,
Barn,"December 10, 2021",42:46,Pop/Rock,"Album Rock, Hard Rock, Contemporary Pop/Rock, Country-Rock",Le Mobile Remote Recording Studio,,"Autumnal, Earnest, Organic, Earthy, Intimate, Provocative, Quirky, Reflective, Searching, Angry, Bittersweet, Brooding, Confrontational, Eccentric, Laid-Back/Mellow, Meandering, Messy, Plaintive, Ramshackle, Rousing, Somber, Volatile, Weary, Acerbic, Ambitious, Angst-Ridden, Bitter, Brash, Cathartic, Complex, Difficult, Harsh, Literate, Nocturnal, Pastoral, Poignant, Rustic, Sad, Sweet, Wistful, Gentle, Gloomy, Melancholy, Rowdy, Aggressive","Autumn, Politics/Society, Introspection, Reflection, Feeling Blue, Late Night, Solitude",Heading West,Neil Young,,,,
Barn,"December 10, 2021",42:46,Pop/Rock,"Album Rock, Hard Rock, Contemporary Pop/Rock, Country-Rock",Le Mobile Remote Recording Studio,,"Autumnal, Earnest, Organic, Earthy, Intimate, Provocative, Quirky, Reflective, Searching, Angry, Bittersweet, Brooding, Confrontational, Eccentric, Laid-Back/Mellow, Meandering, Messy, Plaintive, Ramshackle, Rousing, Somber, Volatile, Weary, Acerbic, Ambitious, Angst-Ridden, Bitter, Brash, Cathartic, Complex, Difficult, Harsh, Literate, Nocturnal, Pastoral, Poignant, Rustic, Sad, Sweet, Wistful, Gentle, Gloomy, Melancholy, Rowdy, Aggressive","Autumn, Politics/Society, Introspection, Reflection, Feeling Blue, Late Night, Solitude",They Might Be Lost,Neil Young,,,,
Barn,"December 10, 2021",42:46,Pop/Rock,"Album Rock, Hard Rock, Contemporary Pop/Rock, Country-Rock",Le Mobile Remote Recording Studio,,"Autumnal, Earnest, Organic, Earthy, Intimate, Provocative, Quirky, Reflective, Searching, Angry, Bittersweet, Brooding, Confrontational, Eccentric, Laid-Back/Mellow, Meandering, Messy, Plaintive, Ramshackle, Rousing, Somber, Volatile, Weary, Acerbic, Ambitious, Angst-Ridden, Bitter, Brash, Cathartic, Complex, Difficult, Harsh, Literate, Nocturnal, Pastoral, Poignant, Rustic, Sad, Sweet, Wistful, Gentle, Gloomy, Melancholy, Rowdy, Aggressive","Autumn, Politics/Society, Introspection, Reflection, Feeling Blue, Late Night, Solitude",Human Race,Neil Young,,,,
Barn,"December 10, 2021",42:46,Pop/Rock,"Album Rock, Hard Rock, Contemporary Pop/Rock, Country-Rock",Le Mobile Remote Recording Studio,,"Autumnal, Earnest, Organic, Earthy, Intimate, Provocative, Quirky, Reflective, Searching, Angry, Bittersweet, Brooding, Confrontational, Eccentric, Laid-Back/Mellow, Meandering, Messy, Plaintive, Ramshackle, Rousing, Somber, Volatile, Weary, Acerbic, Ambitious, Angst-Ridden, Bitter, Brash, Cathartic, Complex, Difficult, Harsh, Literate, Nocturnal, Pastoral, Poignant, Rustic, Sad, Sweet, Wistful, Gentle, Gloomy, Melancholy, Rowdy, Aggressive","Autumn, Politics/Society, Introspection, Reflection, Feeling Blue, Late Night, Solitude",Tumblin' Thru the Years,Neil Young,,,,
Barn,"December 10, 2021",42:46,Pop/Rock,"Album Rock, Hard Rock, Contemporary Pop/Rock, Country-Rock",Le Mobile Remote Recording Studio,,"Autumnal, Earnest, Organic, Earthy, Intimate, Provocative, Quirky, Reflective, Searching, Angry, Bittersweet, Brooding, Confrontational, Eccentric, Laid-Back/Mellow, Meandering, Messy, Plaintive, Ramshackle, Rousing, Somber, Volatile, Weary, Acerbic, Ambitious, Angst-Ridden, Bitter, Brash, Cathartic, Complex, Difficult, Harsh, Literate, Nocturnal, Pastoral, Poignant, Rustic, Sad, Sweet, Wistful, Gentle, Gloomy, Melancholy, Rowdy, Aggressive","Autumn, Politics/Society, Introspection, Reflection, Feeling Blue, Late Night, Solitude",Canerican,Neil Young,,,,
Barn,"December 10, 2021",42:46,Pop/Rock,"Album Rock, Hard Rock, Contemporary Pop/Rock, Country-Rock",Le Mobile Remote Recording Studio,,"Autumnal, Earnest, Organic, Earthy, Intimate, Provocative, Quirky, Reflective, Searching, Angry, Bittersweet, Brooding, Confrontational, Eccentric, Laid-Back/Mellow, Meandering, Messy, Plaintive, Ramshackle, Rousing, Somber, Volatile, Weary, Acerbic, Ambitious, Angst-Ridden, Bitter, Brash, Cathartic, Complex, Difficult, Harsh, Literate, Nocturnal, Pastoral, Poignant, Rustic, Sad, Sweet, Wistful, Gentle, Gloomy, Melancholy, Rowdy, Aggressive","Autumn, Politics/Society, Introspection, Reflection, Feeling Blue, Late Night, Solitude",Song of the Seasons,Neil Young,,,,
Barn,"December 10, 2021",42:46,Pop/Rock,"Album Rock, Hard Rock, Contemporary Pop/Rock, Country-Rock",Le Mobile Remote Recording Studio,,"Autumnal, Earnest, Organic, Earthy, Intimate, Provocative, Quirky, Reflective, Searching, Angry, Bittersweet, Brooding, Confrontational, Eccentric, Laid-Back/Mellow, Meandering, Messy, Plaintive, Ramshackle, Rousing, Somber, Volatile, Weary, Acerbic, Ambitious, Angst-Ridden, Bitter, Brash, Cathartic, Complex, Difficult, Harsh, Literate, Nocturnal, Pastoral, Poignant, Rustic, Sad, Sweet, Wistful, Gentle, Gloomy, Melancholy, Rowdy, Aggressive","Autumn, Politics/Society, Introspection, Reflection, Feeling Blue, Late Night, Solitude",Don't Forget Love,Neil Young,,,,
Barn,"December 10, 2021",42:46,Pop/Rock,"Album Rock, Hard Rock, Contemporary Pop/Rock, Country-Rock",Le Mobile Remote Recording Studio,,"Autumnal, Earnest, Organic, Earthy, Intimate, Provocative, Quirky, Reflective, Searching, Angry, Bittersweet, Brooding, Confrontational, Eccentric, Laid-Back/Mellow, Meandering, Messy, Plaintive, Ramshackle, Rousing, Somber, Volatile, Weary, Acerbic, Ambitious, Angst-Ridden, Bitter, Brash, Cathartic, Complex, Difficult, Harsh, Literate, Nocturnal, Pastoral, Poignant, Rustic, Sad, Sweet, Wistful, Gentle, Gloomy, Melancholy, Rowdy, Aggressive","Autumn, Politics/Society, Introspection, Reflection, Feeling Blue, Late Night, Solitude",Change Ain't Never Gonna,Neil Young,,,,
Fork in the Road,"April 7, 2009",38:40,"Pop/Rock, Folk","Album Rock, Country-Rock, Hard Rock, Protest Songs","Legacy Studios, New York, NY",,"Autumnal, Bittersweet, Freewheeling, Messy, Poignant, Reflective, Rousing, Urgent, Warm, Wistful, Yearning","Day Driving, Night Driving, Rainy Day, Reflection, The Great Outdoors",Johnny Magic,Neil Young,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Crunchy, Gritty, Earnest, Literate, Lazy, Summery, Earthy, Sentimental, Street-Smart, Freewheeling, Relaxed, Theatrical, Greasy, Whimsical","Day Driving, Hanging Out, Road Trip, The Great Outdoors"
Fork in the Road,"April 7, 2009",38:40,"Pop/Rock, Folk","Album Rock, Country-Rock, Hard Rock, Protest Songs","Legacy Studios, New York, NY",,"Autumnal, Bittersweet, Freewheeling, Messy, Poignant, Reflective, Rousing, Urgent, Warm, Wistful, Yearning","Day Driving, Night Driving, Rainy Day, Reflection, The Great Outdoors",When Worlds Collide,Neil Young,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Insular, Laid-Back/Mellow, Reflective, Intimate, Literate, Summery, Whimsical, Lazy, Relaxed, Atmospheric, Sparse, Detached, Street-Smart","Day Driving, Hanging Out, Relaxation, The Great Outdoors"
Fork in the Road,"April 7, 2009",38:40,"Pop/Rock, Folk","Album Rock, Country-Rock, Hard Rock, Protest Songs","Legacy Studios, New York, NY",,"Autumnal, Bittersweet, Freewheeling, Messy, Poignant, Reflective, Rousing, Urgent, Warm, Wistful, Yearning","Day Driving, Night Driving, Rainy Day, Reflection, The Great Outdoors",Fuel Line,Neil Young,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Crunchy, Gritty, Earnest, Literate, Lazy, Summery, Earthy, Sentimental, Street-Smart, Freewheeling, Relaxed, Theatrical, Greasy, Whimsical","Day Driving, Hanging Out, Road Trip, The Great Outdoors"
Fork in the Road,"April 7, 2009",38:40,"Pop/Rock, Folk","Album Rock, Country-Rock, Hard Rock, Protest Songs","Legacy Studios, New York, NY",,"Autumnal, Bittersweet, Freewheeling, Messy, Poignant, Reflective, Rousing, Urgent, Warm, Wistful, Yearning","Day Driving, Night Driving, Rainy Day, Reflection, The Great Outdoors",Light a Candle,Neil Young,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Earnest, Literate, Reflective, Self-Conscious, Bittersweet, Sentimental, Warm, Refined, Reverent, Searching, Summery, Wistful, Laid-Back/Mellow, Spiritual, Street-Smart, Earthy, Organic, Relaxed, Rustic, Theatrical, Passionate, Whimsical","Introspection, Reflection, The Great Outdoors"
Fork in the Road,"April 7, 2009",38:40,"Pop/Rock, Folk","Album Rock, Country-Rock, Hard Rock, Protest Songs","Legacy Studios, New York, NY",,"Autumnal, Bittersweet, Freewheeling, Messy, Poignant, Reflective, Rousing, Urgent, Warm, Wistful, Yearning","Day Driving, Night Driving, Rainy Day, Reflection, The Great Outdoors",Off the Road,Neil Young,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Crunchy, Reflective, Summery, Gritty, Insular, Intimate, Lazy, Passionate, Street-Smart, Wry, Earnest, Greasy, Melancholy, Sentimental, Theatrical, Whimsical, Earthy, Literate, Searching, Detached","Introspection, Night Driving, Road Trip, The Great Outdoors"
Fork in the Road,"April 7, 2009",38:40,"Pop/Rock, Folk","Album Rock, Country-Rock, Hard Rock, Protest Songs","Legacy Studios, New York, NY",,"Autumnal, Bittersweet, Freewheeling, Messy, Poignant, Reflective, Rousing, Urgent, Warm, Wistful, Yearning","Day Driving, Night Driving, Rainy Day, Reflection, The Great Outdoors",Just Singing a Song,Neil Young,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Crunchy, Gritty, Earnest, Literate, Lazy, Summery, Earthy, Sentimental, Street-Smart, Freewheeling, Relaxed, Theatrical, Greasy, Whimsical","Day Driving, Hanging Out, Road Trip, The Great Outdoors"
